"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.666412487210703,0.667386363386715,0.671630278227555,49208.5,0.95,0.57700151207819,0.758269293958875,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.901979862898258,0.90457903392505,0.906549402238105,50000,0.95,0.842402529306481,0.954479324643706,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.508624315897348,0.508606806480263,0.512260168801688,48701,0.95,0.41870101545453,0.595272971747367,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.235567375687554,-0.235489034403714,-0.2374659109216,50000,0.95,-0.341499138081947,-0.12564249285533,0,0,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.157788171313356,0.158407146174822,0.156535409071657,50023.9,0.95,0.0307339471875753,0.285262602565125,0,99.132,NA,NA,NA,NA,NA
"theta[2]-theta[3]",0.39335554700091,0.39412331792523,0.396346588146987,49022.7,0.95,0.288115769003253,0.498929904638438,0,100,NA,NA,NA,NA,NA
