"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.667446222785442,0.677254875004802,0.695957148414462,51003,0.95,0.412072280991789,0.905633849744456,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.36423390411215,0.356579798146653,0.344948337425617,50000,0.95,0.105641098091303,0.629351403154255,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.303212318673292,0.310582036583883,0.328865211406742,50000,0.95,-0.0695123303629405,0.664145245591591,0,93.79,NA,NA,NA,NA,NA
